country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Ireland,IRL,IE,4904240,605,9,"Epidemic intelligence, national daily data",2020-10-04
Montenegro,MNE,ME,622182,8,0,"Epidemic intelligence, national daily data",2020-04-09
Belgium,BEL,BE,11455519,527,5,"Epidemic intelligence, national daily data",2020-08-26
Lithuania,LTU,LT,2794184,11,0,"Epidemic intelligence, national daily data",2020-06-07
Russia,RUS,RU,145934460,4921,121,"Epidemic intelligence, national daily data",2020-08-23
Moldova,MDA,MD,4033963,0,0,"Epidemic intelligence, national daily data",2020-02-24
Russia,RUS,RU,145934460,6431,150,"Epidemic intelligence, national daily data",2020-09-24
Ireland,IRL,IE,4904240,20,0,"Epidemic intelligence, national daily data",2020-06-07
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-02-26
Hungary,HUN,HU,9772756,5,0,"Epidemic intelligence, national daily data",2020-07-09
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-02-09
Kosovo,,,1798506,0,0,"Epidemic intelligence, national daily data",2020-01-06
Armenia,ARM,AM,2963234,0,0,"Epidemic intelligence, national daily data",2020-01-14
Azerbaijan,AZE,AZ,10139175,92,1,"Epidemic intelligence, national daily data",2020-09-22
Malta,MLT,MT,493559,9,0,"Epidemic intelligence, national daily data",2020-08-01
Slovenia,SVN,SI,2080908,0,0,"Epidemic intelligence, national daily data",2020-01-21
Armenia,ARM,AM,2963234,23,5,"Epidemic intelligence, national daily data",2020-08-11
Italy,ITA,IT,60359546,476,10,"Epidemic intelligence, national daily data",2020-08-13
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-05-23
Slovenia,SVN,SI,2080908,898,0,"Epidemic intelligence, national daily data",2020-10-18
Luxembourg,LUX,LU,613894,4,0,"Epidemic intelligence, national daily data",2020-05-30
Portugal,PRT,PT,10276617,255,2,"Epidemic intelligence, national daily data",2020-07-31
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-01-09
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-06-26
Belarus,BLR,BY,9449321,156,5,"Epidemic intelligence, national daily data",2020-09-01
Russia,RUS,RU,145934460,6248,175,"Epidemic intelligence, national daily data",2020-07-15
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-02-23
Spain,ESP,ES,46937060,2951,430,"Epidemic intelligence, national daily data",2020-04-21
Romania,ROU,RO,19414458,1365,44,"Epidemic intelligence, national daily data",2020-09-04
Latvia,LVA,LV,1919968,1,0,"Epidemic intelligence, national daily data",2020-06-10
United Kingdom,GBR,UK,66647112,4868,736,"Epidemic intelligence, national daily data",2020-04-04
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-02-01
North Macedonia,MKD,MK,2077132,4,0,"Epidemic intelligence, national daily data",2020-03-14
Poland,POL,PL,37972812,276,17,"Epidemic intelligence, national daily data",2020-06-27
Latvia,LVA,LV,1919968,1,0,"Epidemic intelligence, national daily data",2020-07-03
Lithuania,LTU,LT,2794184,29,0,"Epidemic intelligence, national daily data",2020-09-03
Portugal,PRT,PT,10276617,542,8,"Epidemic intelligence, national daily data",2020-07-12
Italy,ITA,IT,60359546,0,0,"Epidemic intelligence, national daily data",2020-01-10
Slovenia,SVN,SI,2080908,41,0,"Epidemic intelligence, national daily data",2020-09-02
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-05-27
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-02-01
Armenia,ARM,AM,2963234,0,0,"Epidemic intelligence, national daily data",2020-01-11
Italy,ITA,IT,60359546,2086,323,"Epidemic intelligence, national daily data",2020-04-30
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-06-19
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-07-27
Hungary,HUN,HU,9772756,33,4,"Epidemic intelligence, national daily data",2020-04-01
Ukraine,UKR,UA,43733759,1453,33,"Epidemic intelligence, national daily data",2020-08-08
Netherlands,NLD,NL,17282163,289,63,"Epidemic intelligence, national daily data",2020-05-10
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-06-03
Belgium,BEL,BE,11455519,2782,13,"Epidemic intelligence, national daily data",2020-09-29
Sweden,SWE,SE,10230185,0,0,"Epidemic intelligence, national daily data",2020-01-10
Switzerland,CHE,CH,8544527,108,0,"Epidemic intelligence, national daily data",2020-07-12
Ukraine,UKR,UA,43733759,422,17,"Epidemic intelligence, national daily data",2020-05-15
Poland,POL,PL,37972812,311,13,"Epidemic intelligence, national daily data",2020-04-07
Kosovo,,,1798506,0,0,"Epidemic intelligence, national daily data",2020-07-22
